german_article_singular,german_article_plural,german_singular,german_plural,english_singular,english_plural,ukrainian_singular,ukrainian_plural,french_singular,french_plural,spanish_singular,spanish_plural,farsi_singular,farsi_plural
der Eimer,die Eimer,Eimer,Eimer,bucket,buckets,відро,відра,seau,seaux,cubo,cubos,سطل,سطل‌ها
der Haken,die Haken,Haken,Haken,hook,hooks,гачок,гачки,crochet,crochets,gancho,ganchos,قلاب,قلاب‌ها
der Rahmen,die Rahmen,Rahmen,Rahmen,frame,frames,рамка,рамки,cadre,cadres,marco,marcos,قاب,قاب‌ها
die Box,die Boxen,Box,Boxen,box,boxes,коробка,коробки,boîte,boîtes,caja,cajas,جعبه,جعبه‌ها
die Tasche,die Taschen,Tasche,Taschen,bag,bags,сумка,сумки,sac,sacs,bolsa,bolsas,کیف,کیف‌ها
der Briefkasten,die Briefkästen,Briefkasten,Briefkästen,mailbox,mailboxes,поштова скринька,поштові скриньки,boîte aux lettres,boîtes aux lettres,buzón,buzones,صندوق پست,صندوق پست‌ها
die Vase,die Vasen,Vase,Vasen,vase,vases,ваза,вази,vase,vases,jarrón,jarrones,گلدان,گلدان‌ها
das Besteck,die Bestecke,Besteck,Bestecke,cutlery,cutleries,столові прилади,столові прилади,couverts,couverts,cubertería,cuberterías,قاشق و چنگال,قاشق و چنگال‌ها
die Kaffeemaschine,die Kaffeemaschinen,Kaffeemaschine,Kaffeemaschinen,coffee machine,coffee machines,кавоварка,кавоварки,Machine à café,Machines à café,cafetera,cafeteras,قهوه‌ساز,قهوه‌ساز‌ها
die Teekanne,die Teekannen,Teekanne,Teekannen,teapot,teapots,заварник,заварники,théière,théières,tetera,teteras,قوری,قوری‌ها
der Wecker,die Wecker,Wecker,Wecker,alarm clock,alarm clocks,будильник,будильники,rÉveil,réveils,despertador,despertadores,ساعت زنگ‌دار,ساعت زنگ‌دار‌ها
das Bügeleisen,die Bügeleisen,Bügeleisen,Bügeleisen,iron,irons,праска,праски,fer à repasser,fers à repasser,plancha,planchas,اتو,اتوها
das Bügelbrett,die Bügelbretter,Bügelbrett,Bügelbretter,ironing board,ironing boards,прасувальна дошка,прасувальні дошки,planche à repasser,planches à repasser,tabla de planchar,tablas de planchar,میز اتو,میز اتوها
der Staubwedel,die Staubwedel,Staubwedel,Staubwedel,duster,dusters,пір'яна щітка,пір'яні щітки,plumeau,plumeaux,plumero,plumeros,گردگیر,گردگیر‌ها
der Schwamm,die Schwämme,Schwamm,Schwämme,sponge,sponges,губка,губки,éponge,éponges,esponja,esponjas,اسفنج,اسفنج‌ها
der Lappen,die Lappen,Lappen,Lappen,rag,rags,ганчірка,ганчірки,chiffon,chiffons,trapito,trapitos,دستمال,دستمال‌ها
die Garderobe,die Garderoben,Garderobe,Garderoben,wardrobe,wardrobes,гардероб,гардероби,garde-robe,gardes-robes,guardarropa,guardarropas,رخت‌آویز,رخت‌آویز‌ها
das Brett,die Bretter,Brett,Bretter,board,boards,дошка,дошки,planche,planches,tabla,tablas,تخته,تخته‌ها
der Korkenzieher,die Korkenzieher,Korkenzieher,Korkenzieher,corkscrew,corkscrews,штопор,штопори,tire-bouchon,tires-bouchons,sacacorchos,sacacorchos,چوب‌پنبه‌کش,چوب‌پنبه‌کش‌ها
der Flaschenöffner,die Flaschenöffner,Flaschenöffner,Flaschenöffner,bottle opener,bottle openers,відкривачка,відкривачки,décapsuleur,décapsuleurs,abrebotellas,abrebotellas,دربازکن بطری,دربازکن بطری‌ها
die Schere,die Scheren,Schere,Scheren,scissors,scissors,ножиці,ножиці,ciseaux,ciseaux,tijeras,tijeras,قیچی,قیچی‌ها
das Lineal,die Lineale,Lineal,Lineale,ruler,rulers,лінійка,лінійки,règle,règles,regla,reglas,خط‌کش,خط‌کش‌ها
die Keramikschale,die Keramikschalen,Keramikschale,Keramikschalen,ceramic bowl,ceramic bowls,керамічна миска,керамічні миски,bol en céramique,bols en céramique,cuenco de cerámica,cuencos de cerámica,کاسه سرامیکی,کاسه سرامیکی‌ها
die Spülbürste,die Spülbürsten,Spülbürste,Spülbürsten,dish brush,dish brushes,щітка для миття,щітки для миття,brosse à vaisselle,brosses à vaisselle,cepillo de lavar platos,cepillos de lavar platos,برس شستشو,برس شستشوها
der Eierbecher,die Eierbecher,Eierbecher,Eierbecher,egg cup,egg cups,підставка для яєць,підставки для яєць,coquetier,coquetiers,cubilete,cubiletes,جا تخم‌مرغ,جا تخم‌مرغ‌ها
das Nudelholz,die Nudelholzer,Nudelholz,Nudelholzer,rolling pin,rolling pins,качалка,качалки,rouleau à pâtisserie,rouleaux à pâtisserie,rodillo,rodillos,وردنه,وردنه‌ها
die Kuchenform,die Kuchenformen,Kuchenform,Kuchenformen,cake pan,cake pans,форма для торта,форми для тортів,moule à gâteau,moules à gâteau,molde para pasteles,moldes para pasteles,قالب کیک,قالب کیک‌ها
die Tischdecke,die Tischdecken,Tischdecke,Tischdecken,tablecloth,tablecloths,скатертина,скатертини,nappe,nappes,mantel,manteles,رومیزی,رومیزی‌ها
die Serviette,die Servietten,Serviette,Servietten,napkin,napkins,серветка,серветки,serviette,serviettes,servilleta,servilletas,دستمال سفره,دستمال سفره‌ها
das Besteckfach,die Besteckfächer,Besteckfach,Besteckfächer,cutlery tray,cutlery trays,лоток для столових приборів,лотки для столових приборів,tiroir à couverts,tiroirs à couverts,cajón de cubiertos,cajones de cubiertos,جا قاشق و چنگال,جا قاشق و چنگال‌ها
der Griff,die Griffe,Griff,Griffe,handle,handles,ручка,ручки,poignée,poignées,manija,manijas,دسته,دسته‌ها
der Deckel,die Deckel,Deckel,Deckel,lid,lids,кришка,кришки,couvercle,couvercles,tapa,tapas,درپوش,درپوش‌ها
die Gießkanne,die Gießkannen,Gießkanne,Gießkannen,watering can,watering cans,лійка,лійки,arrosoir,arrosoirs,regadera,regaderas,آبپاش,آبپاش‌ها
die Harke,die Harken,Harke,Harken,rake,rakes,граблі,граблі,rateau,rateaux,rastro,rastrillos,شن‌کش,شن‌کش‌ها
die Schaufel,die Schaufeln,Schaufel,Schaufeln,shovel,shovels,лопата,лопати,pelle,pelles,pala,palas,بیلچه,بیلچه‌ها
das Regalbrett,die Regalbretter,Regalbrett,Regalbretter,shelf board,shelf boards,полиця,полиці,planche d'étagère,planches d'étagère,tablilla de estante,tablillas de estante,تخته قفسه,تخته قفسه‌ها
